n,delta,p,corr_p
10000,295,0.0,0.0001
10000,295,0.0,0.0001
10000,295,0.0,0.0001
10000,295,0.0,0.0001
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100000,295,0.0,1e-05
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
100,300,0.0,0.01
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
1000,300,0.0,0.001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
10000,300,0.0,0.0001
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100000,300,0.0,1e-05
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
100,305,0.0,0.01
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
1000,305,0.0,0.001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
10000,305,0.0,0.0001
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100000,305,0.0,1e-05
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
100,310,0.0,0.01
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
1000,310,0.0,0.001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
10000,310,0.0,0.0001
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100000,310,0.0,1e-05
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
100,315,0.0,0.01
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
1000,315,0.0,0.001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
10000,315,0.0,0.0001
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100000,315,0.0,1e-05
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
100,320,0.0,0.01
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
1000,320,0.0,0.001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
10000,320,0.0,0.0001
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100000,320,0.0,1e-05
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
100,325,0.0,0.01
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
1000,325,0.0,0.001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
10000,325,0.0,0.0001
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100000,325,0.0,1e-05
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
100,330,0.0,0.01
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
1000,330,0.0,0.001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
10000,330,0.0,0.0001
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100000,330,0.0,1e-05
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
100,335,0.0,0.01
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
1000,335,0.0,0.001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
10000,335,0.0,0.0001
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100000,335,0.0,1e-05
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
100,340,0.0,0.01
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
1000,340,0.0,0.001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
10000,340,0.0,0.0001
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100000,340,0.0,1e-05
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
100,345,0.0,0.01
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
1000,345,0.0,0.001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
10000,345,0.0,0.0001
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100000,345,0.0,1e-05
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
100,350,0.0,0.01
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
1000,350,0.0,0.001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
10000,350,0.0,0.0001
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100000,350,0.0,1e-05
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
100,355,0.0,0.01
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
1000,355,0.0,0.001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
10000,355,0.0,0.0001
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100000,355,0.0,1e-05
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
100,360,0.0,0.01
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
1000,360,0.0,0.001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
10000,360,0.0,0.0001
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100000,360,0.0,1e-05
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
100,365,0.0,0.01
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
1000,365,0.0,0.001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
10000,365,0.0,0.0001
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100000,365,0.0,1e-05
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
100,370,0.0,0.01
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
1000,370,0.0,0.001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
10000,370,0.0,0.0001
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100000,370,0.0,1e-05
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
100,375,0.0,0.01
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
1000,375,0.0,0.001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
10000,375,0.0,0.0001
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100000,375,0.0,1e-05
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
100,380,0.0,0.01
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
1000,380,0.0,0.001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
10000,380,0.0,0.0001
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100000,380,0.0,1e-05
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
100,385,0.0,0.01
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
1000,385,0.0,0.001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
10000,385,0.0,0.0001
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100000,385,0.0,1e-05
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
100,390,0.0,0.01
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
1000,390,0.0,0.001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
10000,390,0.0,0.0001
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100000,390,0.0,1e-05
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
100,395,0.0,0.01
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
1000,395,0.0,0.001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
10000,395,0.0,0.0001
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
100000,395,0.0,1e-05
